DATA,TOTALE
2015-01-01,109
2015-01-02,104
2015-01-03,85
2015-01-04,80
2015-01-05,100
2015-01-06,97
2015-01-07,84
2015-01-08,90
2015-01-09,73
2015-01-10,87
2015-01-11,90
2015-01-12,66
2015-01-13,98
2015-01-14,97
2015-01-15,85
2015-01-16,86
2015-01-17,82
2015-01-18,93
2015-01-19,92
2015-01-20,87
2015-01-21,88
2015-01-22,86
2015-01-23,76
2015-01-24,81
2015-01-25,80
2015-01-26,73
2015-01-27,89
2015-01-28,76
2015-01-29,56
2015-01-30,95
2015-01-31,83
2015-02-01,93
2015-02-02,86
2015-02-03,88
2015-02-04,87
2015-02-05,90
2015-02-06,82
2015-02-07,79
2015-02-08,74
2015-02-09,97
2015-02-10,79
2015-02-11,88
2015-02-12,91
2015-02-13,84
2015-02-14,78
2015-02-15,72
2015-02-16,101
2015-02-17,76
2015-02-18,86
2015-02-19,74
2015-02-20,94
2015-02-21,75
2015-02-22,102
2015-02-23,79
2015-02-24,107
2015-02-25,82
2015-02-26,82
2015-02-27,94
2015-02-28,69
2015-03-01,75
2015-03-02,64
2015-03-03,74
2015-03-04,89
2015-03-05,80
2015-03-06,87
2015-03-07,80
2015-03-08,62
2015-03-09,77
2015-03-10,106
2015-03-11,103
2015-03-12,74
2015-03-13,76
2015-03-14,76
2015-03-15,82
2015-03-16,65
2015-03-17,89
2015-03-18,69
2015-03-19,70
2015-03-20,84
2015-03-21,81
2015-03-22,74
2015-03-23,81
2015-03-24,64
2015-03-25,89
2015-03-26,76
2015-03-27,70
2015-03-28,83
2015-03-29,73
2015-03-30,72
2015-03-31,69
2015-04-01,71
2015-04-02,78
2015-04-03,59
2015-04-04,74
2015-04-05,63
2015-04-06,77
2015-04-07,64
2015-04-08,77
2015-04-09,69
2015-04-10,76
2015-04-11,76
2015-04-12,91
2015-04-13,83
2015-04-14,63
2015-04-15,62
2015-04-16,74
2015-04-17,69
2015-04-18,62
2015-04-19,76
2015-04-20,81
2015-04-21,77
2015-04-22,66
2015-04-23,64
2015-04-24,64
2015-04-25,72
2015-04-26,57
2015-04-27,75
2015-04-28,57
2015-04-29,71
2015-04-30,66
2015-05-01,68
2015-05-02,59
2015-05-03,56
2015-05-04,73
2015-05-05,74
2015-05-06,67
2015-05-07,56
2015-05-08,67
2015-05-09,67
2015-05-10,56
2015-05-11,80
2015-05-12,64
2015-05-13,72
2015-05-14,67
2015-05-15,95
2015-05-16,78
2015-05-17,42
2015-05-18,71
2015-05-19,47
2015-05-20,67
2015-05-21,60
2015-05-22,54
2015-05-23,53
2015-05-24,43
2015-05-25,49
2015-05-26,56
2015-05-27,48
2015-05-28,56
2015-05-29,55
2015-05-30,52
2015-05-31,58
2015-06-01,78
2015-06-02,62
