data,deceduti
2020-02-24,7.0
2020-02-25,3.0
2020-02-26,2.0
2020-02-27,5.0
2020-02-28,4.0
2020-02-29,8.0
2020-03-01,5.0
2020-03-02,18.0
2020-03-03,27.0
2020-03-04,28.0
2020-03-05,41.0
2020-03-06,49.0
2020-03-07,36.0
2020-03-08,133.0
2020-03-09,97.0
2020-03-10,168.0
2020-03-11,196.0
2020-03-12,189.0
2020-03-13,250.0
2020-03-14,175.0
2020-03-15,368.0
2020-03-16,349.0
2020-03-17,345.0
2020-03-18,475.0
2020-03-19,427.0
2020-03-20,627.0
2020-03-21,793.0
2020-03-22,651.0
2020-03-23,601.0
2020-03-24,743.0
2020-03-25,683.0
2020-03-26,662.0
2020-03-27,969.0
2020-03-28,889.0
2020-03-29,756.0
2020-03-30,812.0
2020-03-31,837.0
2020-04-01,727.0
2020-04-02,760.0
2020-04-03,766.0
2020-04-04,681.0
2020-04-05,525.0
2020-04-06,636.0
2020-04-07,604.0
2020-04-08,542.0
2020-04-09,610.0
2020-04-10,570.0
2020-04-11,619.0
2020-04-12,431.0
2020-04-13,566.0
2020-04-14,602.0
2020-04-15,578.0
2020-04-16,525.0
2020-04-17,575.0
2020-04-18,482.0
2020-04-19,433.0
2020-04-20,454.0
2020-04-21,534.0
2020-04-22,437.0
2020-04-23,464.0
2020-04-24,420.0
2020-04-25,415.0
2020-04-26,260.0
2020-04-27,333.0
2020-04-28,382.0
2020-04-29,323.0
2020-04-30,285.0
2020-05-01,269.0
2020-05-02,474.0
2020-05-03,174.0
2020-05-04,195.0
2020-05-05,236.0
2020-05-06,369.0
2020-05-07,274.0
2020-05-08,243.0
2020-05-09,194.0
2020-05-10,165.0
2020-05-11,179.0
2020-05-12,172.0
2020-05-13,195.0
2020-05-14,262.0
2020-05-15,242.0
2020-05-16,153.0
2020-05-17,145.0
2020-05-18,99.0
2020-05-19,162.0
2020-05-20,161.0
2020-05-21,156.0
2020-05-22,130.0
2020-05-23,119.0
2020-05-24,50.0
2020-05-25,92.0
2020-05-26,78.0
2020-05-27,117.0
2020-05-28,70.0
2020-05-29,87.0
2020-05-30,111.0
2020-05-31,75.0
2020-06-01,60.0
2020-06-02,55.0
2020-06-03,71.0
2020-06-04,88.0
2020-06-05,85.0
2020-06-06,72.0
2020-06-07,53.0
2020-06-08,65.0
2020-06-09,79.0
2020-06-10,71.0
2020-06-11,53.0
2020-06-12,56.0
2020-06-13,78.0
2020-06-14,44.0
2020-06-15,26.0
2020-06-16,34.0
2020-06-17,43.0
2020-06-18,66.0
2020-06-19,47.0
2020-06-20,49.0
2020-06-21,24.0
2020-06-22,23.0
2020-06-23,18.0
2020-06-24,-31.0
2020-06-25,34.0
2020-06-26,30.0
2020-06-27,8.0
2020-06-28,22.0
2020-06-29,6.0
2020-06-30,23.0
2020-07-01,21.0
2020-07-02,30.0
2020-07-03,15.0
2020-07-04,21.0
2020-07-05,7.0
2020-07-06,8.0
2020-07-07,30.0
2020-07-08,15.0
2020-07-09,12.0
2020-07-10,12.0
2020-07-11,7.0
2020-07-12,9.0
2020-07-13,13.0
2020-07-14,17.0
2020-07-15,13.0
2020-07-16,20.0
2020-07-17,11.0
2020-07-18,14.0
2020-07-19,3.0
2020-07-20,13.0
2020-07-21,15.0
2020-07-22,9.0
2020-07-23,10.0
2020-07-24,5.0
2020-07-25,5.0
2020-07-26,5.0
2020-07-27,5.0
2020-07-28,11.0
2020-07-29,6.0
2020-07-30,3.0
2020-07-31,9.0
2020-08-01,5.0
2020-08-02,8.0
2020-08-03,12.0
2020-08-04,5.0
2020-08-05,10.0
2020-08-06,6.0
2020-08-07,3.0
2020-08-08,13.0
2020-08-09,2.0
2020-08-10,4.0
2020-08-11,6.0
2020-08-12,10.0
2020-08-13,6.0
2020-08-14,3.0
2020-08-15,158.0
2020-08-16,4.0
2020-08-17,4.0
2020-08-18,5.0
2020-08-19,7.0
2020-08-20,6.0
2020-08-21,9.0
2020-08-22,3.0
2020-08-23,7.0
2020-08-24,4.0
2020-08-25,4.0
2020-08-26,13.0
2020-08-27,5.0
2020-08-28,9.0
2020-08-29,1.0
2020-08-30,4.0
2020-08-31,6.0
2020-09-01,8.0
2020-09-02,6.0
2020-09-03,10.0
2020-09-04,11.0
2020-09-05,15.0
2020-09-06,8.0
2020-09-07,12.0
2020-09-08,10.0
2020-09-09,14.0
2020-09-10,10.0
2020-09-11,10.0
2020-09-12,6.0
2020-09-13,7.0
2020-09-14,14.0
2020-09-15,9.0
2020-09-16,12.0
2020-09-17,13.0
2020-09-18,10.0
2020-09-19,24.0
2020-09-20,15.0
2020-09-21,17.0
2020-09-22,14.0
2020-09-23,20.0
2020-09-24,23.0
2020-09-25,20.0
2020-09-26,17.0
2020-09-27,17.0
2020-09-28,16.0
2020-09-29,24.0
2020-09-30,19.0
